Imie;Nazwisko;KlientID;FakturaNaglowekID
Krzysztof;Lubaszka;1;1
Robert;PiwoÄski ;2;2
Anna;Galaszewska ;3;3
Irena;Rogowska;4;4
Jan;GraczyÄski ;5;5
Urszula;Murawska ;6;6
Felicja;Andrychowicz;7;7
Janusz;Wachowicz;8;8
Amanda;Koszewska;9;9
Robert;CzerwiÄski;10;10
Maciej;Linus;11;11
Donald;B¸aýejczyk;12;12
Jolanta;Filipowicz;13;13
Jan;Melnik;14;14
Edward;Soplica;15;15
Czes¸aw;Jasiewicz;16;16
Wies¸awa;Kozikowska;17;17
Marek;Za¸uski;18;18
Piotr;S¸omczyÄski;19;19
Zygmunt;Semeniuk ;20;20
Helena;UrbaÄczyk;21;21
Pawe¸;Grabowski;22;22
Wojciech;Wojtyra;23;23
Antoni;PersiÄski;24;24
üucja;NadwiælaÄska;25;25
Olga;MˆczyÄska;26;26
Irena;LubaÄska ;27;27
Zygmunt;Krawczyk;28;28
Marek;Hubertus;29;29
Dagmara;Mazowiecka;30;30
Anna;Ochocka;31;31
Krzysztof;Niew«g¸owski;32;32
Konrad;J«druszczak;33;33
Izolda;Figura;34;34
Oktawian;Terlecki;35;35
Augustyn;Zalewski;36;36
Andrzej;Sienkiewicz;37;37
Monika;Naparstek;38;38
Ma¸gorzata;Graniecka;39;39
Graýyna;KrasiczyÄska;40;40
Teresa;Damska;41;41
Zofia;Gregoruk;42;42
Danuta;Rosiak;43;43
Franciszek;BReklamaosz;44;44
Henryk;G—recki;45;45
Joanna;Mi«kus;46;46
Iza;Pankiewicz;47;47
Maria;Cieælak;48;48
Helena;Kowalska;49;49
Teodor;Wanad;50;50
Natalia;Ciechowska;51;51
R—ýa;Weiss;52;52
Tadeusz;Bielak;53;53
Andrzej;Pyza;54;54
Jerzy;Celejewski;55;55
Dariusz;Salezy;56;56
Bogdan;Filipek;57;57
Ewa;Milewska;58;58
Melisa;Chrzanowska;59;59
S¸awomir;Duszczyk;60;60
Piotr;Kieælowski;61;61
Stefan;Anczewski;62;62
Pawe¸;Wolski;63;63
Teresa;Dykiel;64;64
Agnieszka;Ka¸uýa;65;65
Marcin;Adamiec;66;66
Barbara;Ostrowska;67;67
Katarzyna;Pacu¸a;68;68
Robert;ReszczyÄski;69;69
Barbara;W«gier;70;70
Wojciech;Grzeszczak;71;71
Barbara;Janiszewska;72;72
Piotr;Beneka;73;73
Mieczys¸awa;Szelest;74;74
Les¸aw;Chojnacki;75;75
Wanda;Mianowska;76;76
Izabela;Feler;77;77
Barbara;JasiÄska;78;78
Monika;Ciechowska;79;79
Graýyna;Miko¸ajczyk;80;80
Daniel;Siedlecki;81;81
Aneta;Wolej;82;82
Karolina;Zach;83;83
Patrycja;Barcisz;84;84
Ewelina;Miejska;85;85
Zofia;SzafraÄska;86;86
Juliusz;Dziwulski;87;87
Izabela;Dudek;88;88
Benedykt;Hardy;89;89
Dariusz;PieÄkowski;90;90
Stanis¸aw;Lechowicz;91;91
Janina;JasiÄska;92;92
Romuald;Zambrowicz;93;93
Olgierd;Rosiewicz;94;94
Miko¸aj;Siennicki;95;95
Gorzegorz;Anio¸;96;96
Janusz;Lichwiarz;97;97
Jerzy;BoroÄski;98;98
Elwira;S«kociÄska;99;99
Micha¸;Kadej;100;100
Aleksander;G—rski;101;101
Krzysztof;Kacprzak;102;102
Wies¸aw;Kopernik;103;103
Renata;Sobiecka ;104;104
Marek;Nowak;105;105
Cezary;K¸osiÄski;106;106
Zygmunt;Tkaczyk;107;107
Dorota;Fedoruk;108;108
Zuzanna;åliwiÄska;109;109
Maryla;LeszczyÄska;110;110
Maria;Baranowska;111;111
Mieczys¸aw;Zalesiak;112;112
Stefan;Pszczo¸a;113;113
Joe;ûukowski;114;114
Micha¸;Figura;115;115
Adam;Figura;116;116
Adam;Figura;117;117
Iza;Figura;118;118
Barbara;Figura;119;119
W¸odzimierz;Miska;120;120
